ZlN117782774,广州,不错，好看，棒棒的,5.0,2018-12-03 19:24:26
ffh801651669,任丘,？？？？！！。，,5.0,2018-12-03 19:24:14
sDn562489359,昆明,喜欢反反复复发,5.0,2018-12-03 19:23:46
Peace·Love,台州,汤老湿请开始您的表演 我只负责掏钱包,5.0,2018-12-03 19:23:26
VHK155579052,大理,超级好看，我好喜欢,5.0,2018-12-03 19:23:10
FiberQin,成都,不多说 毒液是我男神,5.0,2018-12-03 19:22:49
运福,广州,还不错，挺好看的。剧情连接顺畅。,5.0,2018-12-03 19:21:52
muyunai,合肥,开头看的时候有些怕，中间后面还蛮搞笑的，就是打斗地方有点无趣～,4.0,2018-12-03 19:20:49
方爷兒,珠海,订了票，位置给别人坐了，真是缺德 不能对号入座吗？ 画质也不太好～很模糊,2.0,2018-12-03 19:20:47
爱丽丝仙境165,烟台,………………,4.0,2018-12-03 19:20:07
美食创梦-孙健龙,哈尔滨,超好看，一定还有续集,5.0,2018-12-03 19:19:55
晟夜,大连,前半小时关于感情的描写太多...后边还可以..整体还行,4.5,2018-12-03 19:19:21
HFE423599948,杭州,挺不错的！很好看,5.0,2018-12-03 19:19:17
小瓦匠和小疙瘩,淮安,挺好看，责任与守护。,5.0,2018-12-03 19:18:58
HCa399461009,南宁,很好很精彩精彩,5.0,2018-12-03 19:18:56
MRo466231693,肇庆,还好，不错啊。,4.0,2018-12-03 19:18:44
fbh618733076,葫芦岛,挺好看的挺好看的挺好看的挺好看的,5.0,2018-12-03 19:17:53
多啦A梦与萌萌,银川,好看，非常喜欢,5.0,2018-12-03 19:17:31
KYv298321087,汕尾,不错还挺好看的,5.0,2018-12-03 19:17:25
木isabel,连云港,太可爱了，have power！i am here.,5.0,2018-12-03 19:16:13
那年我们相遇910,包头,很好看，和对象一起去看的,5.0,2018-12-03 19:15:56
ljr962464,乌鲁木齐,特别太棒了，漫威果然牛逼,5.0,2018-12-03 19:15:33
MRt13555880612,沈阳,没去看，帮人买票！,5.0,2018-12-03 19:14:47
K_G、七爷、,扬州,超级好看，男主真的很帅气！毒液炒鸡可爱呀！变身的时候真的超酷了！大赞！！！,5.0,2018-12-03 19:14:28
老车神,北京,感觉剧情不是很紧凑，有被剪了好多的感觉,4.5,2018-12-03 19:14:13
歌者祁艺,保定,好号吗？？？,5.0,2018-12-03 19:13:48
Jdu689167324,克拉玛依,不错，不是特别惊艳，但也合格了。,3.5,2018-12-03 19:13:38
余美人～,仁怀,很好看，不错的推荐,5.0,2018-12-03 19:12:55
NNW309315153,成都,好看！！！！！！！！！,4.0,2018-12-03 19:12:43
VYd282509854,北京,还可以吧，不是特喜欢,4.0,2018-12-03 19:11:26
楉楉君,盘锦,来咯来咯来找我的啊居住证,5.0,2018-12-03 19:11:23
瘦不了你,西安,一般....,2.0,2018-12-03 19:11:00
cmD924592500,拉萨,很好看，好可爱的毒液，值得看的片子,5.0,2018-12-03 19:09:45
GBi649169001,佛山,好看好看好看,5.0,2018-12-03 19:09:38
CFd461041047,中山,还不错。。。。,4.0,2018-12-03 19:08:19
闪电跳跳龙,乌鲁木齐,虽然剧情逻辑不同，但毒液太吊啦,4.5,2018-12-03 19:08:16
发呆了咯,深圳,还好还好哈还好还好哈,5.0,2018-12-03 19:08:07
维维20088,重庆,好看，特效做得也不错，故事情节也比较紧凑，整体的节奏把握还是很不错的。,5.0,2018-12-03 19:07:53
韦斯特wst,济宁,还不错！！！！,4.0,2018-12-03 19:07:52
果果144026,北京,比无名之辈差！国产电影威武！,4.0,2018-12-03 19:07:35
小姐姐翻水水,上海,非常好看 特效不错,4.5,2018-12-03 19:06:59
我u俩宝儿,松原,开始看网友评论，呼声比较高。特意陪孩子去的，看的时候感觉特效绝对没的说，特别震撼人心，只可惜白天太累，没坚持到最后睡着了！！！后来据孩子说剧情和特效超级棒！非常好，说必须给好评！！！自己感觉很遗憾，希望有时间再追一遍，看看后面的剧情！！！,5.0,2018-12-03 19:06:43
Ym520111,广元,好看。。。。。。。,5.0,2018-12-03 19:06:38
TE青色雨音mE4167,珠海,很正能量，反映了一些社会人群的处境，具有教育意义。,5.0,2018-12-03 19:06:05
王哲,武汉,毒液还是很萌的，剧情嘛，一般般了,3.0,2018-12-03 19:06:03
eBg434531903,无锡,还行吧，凑合着,5.0,2018-12-03 19:06:00
cw随心008,重庆,欧美大片确实不错,5.0,2018-12-03 19:04:29
圈圈虫丶,肥东县,111。去5678,5.0,2018-12-03 19:04:00
吡吃！,昆明,很好看。。。,5.0,2018-12-03 19:03:38
Jasmin,锦州,太好看了吧！！超喜欢小毒液！太萌了，埃迪也是自带萌点！！好喜欢好喜欢好喜欢,5.0,2018-12-03 19:02:55
海色的云,石家庄,"挺不错，打斗场面不是太多，不过大反派暴乱是真帅，永远都是反派超牛皮，反派死了(""▔㉨▔)汗 ",4.5,2018-12-03 19:02:13
杨有幸,重庆,好看！！！！！,5.0,2018-12-03 19:02:05
fjM850345788,江门,…………………,5.0,2018-12-03 19:02:01
